diagnosis_date,Travel overseas,In AU unknown source,Under investigation,Contact with a confirmed case
2020-01-25,1,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,1,0,0,0
2020-01-29,0,0,0,0
2020-01-30,1,0,0,0
2020-01-31,1,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,2,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,1,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,2,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,1,0,0,0
2020-03-05,0,0,0,0
2020-03-06,1,0,0,0
2020-03-07,1,0,0,0
2020-03-08,2,0,0,0
2020-03-09,3,0,0,0
2020-03-10,1,0,0,1
2020-03-11,4,0,0,1
2020-03-12,9,1,0,0
2020-03-13,12,0,0,3
2020-03-14,4,0,0,1
2020-03-15,7,0,0,0
2020-03-16,13,1,0,3
2020-03-17,29,0,0,8
2020-03-18,23,0,0,7
2020-03-19,24,1,0,8
2020-03-20,32,1,0,10
2020-03-21,35,2,0,9
2020-03-22,51,3,0,19
2020-03-23,39,0,0,17
2020-03-24,49,4,0,11
2020-03-25,44,3,0,11
2020-03-26,33,4,0,17
2020-03-27,72,7,0,27
2020-03-28,49,6,0,23
2020-03-29,23,3,0,28
2020-03-30,42,5,0,41
2020-03-31,24,11,0,23
2020-04-01,27,9,0,27
2020-04-02,20,5,0,34
2020-04-03,11,3,0,8
2020-04-04,9,3,0,17
2020-04-05,5,6,0,15
2020-04-06,16,7,0,10
2020-04-07,11,7,0,6
2020-04-08,4,1,0,8
2020-04-09,4,2,0,6
2020-04-10,11,3,0,10
2020-04-11,4,1,0,1
2020-04-12,8,0,0,0
2020-04-13,5,1,0,3
2020-04-14,2,1,0,1
2020-04-15,1,0,0,4
2020-04-16,3,1,0,3
2020-04-17,9,1,0,4
2020-04-18,5,1,0,7
2020-04-19,0,0,0,1
2020-04-20,2,0,0,3
2020-04-21,1,0,0,0
2020-04-22,0,0,0,1
2020-04-23,1,1,0,3
2020-04-24,0,1,0,2
2020-04-25,1,1,0,1
2020-04-26,0,0,0,1
2020-04-27,0,0,0,3
2020-04-28,1,0,0,2
2020-04-29,2,0,0,5
2020-04-30,4,0,0,1
2020-05-01,1,2,0,7
2020-05-02,1,3,0,7
2020-05-03,2,1,0,18
2020-05-04,1,4,0,9
2020-05-05,8,1,0,7
2020-05-06,0,1,0,14
2020-05-07,0,5,0,8
2020-05-08,1,3,0,8
2020-05-09,3,4,0,1
2020-05-10,4,0,0,1
2020-05-11,0,2,0,14
2020-05-12,2,4,0,1
2020-05-13,3,0,0,6
2020-05-14,7,2,0,10
2020-05-15,7,4,0,2
2020-05-16,3,0,0,2
2020-05-17,2,2,0,2
2020-05-18,1,3,0,3
2020-05-19,0,2,0,3
2020-05-20,0,2,0,3
2020-05-21,3,2,0,5
2020-05-22,3,6,0,0
2020-05-23,0,2,0,0
2020-05-24,2,0,0,0
2020-05-25,3,1,0,1
2020-05-26,2,2,0,4
2020-05-27,3,0,0,7
2020-05-28,3,1,0,2
2020-05-29,2,1,0,5
2020-05-30,3,1,0,4
2020-05-31,1,2,0,1
2020-06-01,0,5,0,4
2020-06-02,7,0,0,0
2020-06-03,6,1,0,1
2020-06-04,2,1,0,0
2020-06-05,0,1,0,0
2020-06-06,3,0,0,1
2020-06-07,1,1,0,0
2020-06-08,0,0,0,0
2020-06-09,0,3,0,1
2020-06-10,2,4,0,1
2020-06-11,2,1,0,2
2020-06-12,6,0,0,2
2020-06-13,3,0,0,7
2020-06-14,1,1,0,10
2020-06-15,3,3,0,3
2020-06-16,15,2,0,3
2020-06-17,7,9,0,2
2020-06-18,1,3,0,8
2020-06-19,2,12,0,11
2020-06-20,3,4,0,10
2020-06-21,4,4,0,5
2020-06-22,2,7,0,8
2020-06-23,1,5,0,12
2020-06-24,10,5,0,18
2020-06-25,8,8,0,12
2020-06-26,1,14,0,25
2020-06-27,0,20,0,27
2020-06-28,1,29,0,39
2020-06-29,0,12,0,49
2020-06-30,6,25,0,45
2020-07-01,3,17,0,53
2020-07-02,7,13,0,42
2020-07-03,0,24,0,76
2020-07-04,2,20,0,46
2020-07-05,0,20,0,78
2020-07-06,1,52,0,115
2020-07-07,1,40,0,81
2020-07-08,0,58,0,91
2020-07-09,0,41,0,102
2020-07-10,0,105,0,185
2020-07-11,0,94,0,162
2020-07-12,0,44,0,123
2020-07-13,0,73,0,175
2020-07-14,0,56,0,162
2020-07-15,0,69,0,226
2020-07-16,0,90,0,290
2020-07-17,0,46,0,165
2020-07-18,0,87,0,250
2020-07-19,0,64,0,198
2020-07-20,0,61,0,280
2020-07-21,0,93,0,343
2020-07-22,0,68,0,306
2020-07-23,0,53,0,236
2020-07-24,0,72,0,261
2020-07-25,0,63,0,343
2020-07-26,0,68,0,424
2020-07-27,0,79,0,280
2020-07-28,0,49,0,227
2020-07-29,0,140,0,483
2020-07-30,0,104,0,444
2020-07-31,0,74,0,295
2020-08-01,0,107,0,491
2020-08-02,0,76,0,278
2020-08-03,0,84,0,319
2020-08-04,0,118,0,568
2020-08-05,0,65,0,379
2020-08-06,0,72,0,349
2020-08-07,0,78,0,377
2020-08-08,0,69,0,305
2020-08-09,0,52,0,258
2020-08-10,0,44,0,277
2020-08-11,0,67,0,333
2020-08-12,0,31,0,225
2020-08-13,0,47,0,313
2020-08-14,0,50,0,251
2020-08-15,0,60,0,207
2020-08-16,0,34,0,232
2020-08-17,0,28,0,189
2020-08-18,0,40,0,168
2020-08-19,0,28,0,203
2020-08-20,0,25,0,145
2020-08-21,0,25,0,148
2020-08-22,0,39,0,163
2020-08-23,0,13,0,96
2020-08-24,0,17,0,129
2020-08-25,0,18,0,124
2020-08-26,0,22,0,88
2020-08-27,0,15,0,96
2020-08-28,0,13,0,77
2020-08-29,0,14,0,94
2020-08-30,0,3,0,68
2020-08-31,0,4,0,59
2020-09-01,0,11,0,76
2020-09-02,0,12,0,98
2020-09-03,0,11,0,64
2020-09-04,0,6,0,65
2020-09-05,0,4,0,58
2020-09-06,0,4,0,34
2020-09-07,0,5,0,43
2020-09-08,0,3,0,67
2020-09-09,0,6,0,41
2020-09-10,0,3,0,37
2020-09-11,0,2,0,33
2020-09-12,0,5,0,36
2020-09-13,0,6,0,24
2020-09-14,0,2,0,37
2020-09-15,0,6,0,35
2020-09-16,0,1,0,24
2020-09-17,0,2,0,43
2020-09-18,0,0,0,20
2020-09-19,0,0,0,13
2020-09-20,0,1,0,10
2020-09-21,0,0,0,28
2020-09-22,0,3,0,11
2020-09-23,0,3,0,8
2020-09-24,0,1,0,12
2020-09-25,0,0,0,12
2020-09-26,0,0,0,16
2020-09-27,0,0,0,5
2020-09-28,0,0,0,9
2020-09-29,0,0,0,10
2020-09-30,0,1,0,13
2020-10-01,0,2,0,3
2020-10-02,0,1,0,8
2020-10-03,0,1,0,9
2020-10-04,0,2,0,6
2020-10-05,0,0,0,14
2020-10-06,0,0,0,5
2020-10-07,0,2,0,7
2020-10-08,0,1,0,9
2020-10-09,0,2,0,12
2020-10-10,0,1,0,11
2020-10-11,0,3,0,11
2020-10-12,0,0,0,11
2020-10-13,0,2,0,3
2020-10-14,0,0,0,6
2020-10-15,0,1,0,1
2020-10-16,0,0,0,1
2020-10-17,0,0,0,2
2020-10-18,0,0,0,3
2020-10-19,0,0,0,0
2020-10-20,0,0,0,3
2020-10-21,0,0,0,5
2020-10-22,0,0,0,1
2020-10-23,0,0,0,5
2020-10-24,0,1,0,6
2020-10-25,0,0,0,0
2020-10-26,0,0,0,0
2020-10-27,0,0,0,2
2020-10-28,0,0,0,2
2020-10-29,0,1,0,1
2020-10-30,0,0,0,0
2020-10-31,0,0,0,0
2020-11-01,0,0,0,0
2020-11-02,0,0,0,0
2020-11-03,0,0,0,0
2020-11-04,0,0,0,0
2020-11-05,0,0,0,0
2020-11-06,0,0,0,0
2020-11-07,0,0,0,0
2020-11-08,0,0,0,0
2020-11-09,0,0,0,0
2020-11-10,0,0,0,0
2020-11-11,0,0,0,0
2020-11-12,0,0,0,0
2020-11-13,0,0,0,0
2020-11-14,0,0,0,0
2020-11-15,0,0,0,0
2020-11-16,0,0,0,0
2020-11-17,0,0,0,0
2020-11-18,0,0,0,0
2020-11-19,0,0,0,0
2020-11-20,0,0,0,0
2020-11-21,0,0,0,0
2020-11-22,0,0,0,0
2020-11-23,0,0,0,0
2020-11-24,0,0,0,0
2020-11-25,0,0,0,0
2020-11-26,0,0,0,0
2020-11-27,0,0,0,0
2020-11-28,0,0,0,0
2020-11-29,0,0,0,0
2020-11-30,0,0,0,0
2020-12-01,0,0,0,0
2020-12-02,0,0,0,0
2020-12-03,0,0,0,0
2020-12-04,0,0,0,0
2020-12-05,0,0,0,0
2020-12-06,0,0,0,0
2020-12-07,0,0,0,0
2020-12-08,0,0,0,0
2020-12-09,0,0,0,0
2020-12-10,0,0,0,0
2020-12-11,5,0,0,0
2020-12-12,1,0,0,0
2020-12-13,1,0,0,0
2020-12-14,0,0,0,0
2020-12-15,0,0,0,0
2020-12-16,0,0,0,0
2020-12-17,1,0,0,0
2020-12-18,2,0,0,0
2020-12-19,2,0,0,0
2020-12-20,1,0,0,0
2020-12-21,2,0,0,1
2020-12-22,1,0,0,0
2020-12-23,0,0,0,0
2020-12-24,0,0,0,0
2020-12-25,0,0,0,0
2020-12-26,1,0,0,0
2020-12-27,2,0,0,0
2020-12-28,0,0,0,0
2020-12-29,1,0,0,0
2020-12-30,0,0,0,3
2020-12-31,2,0,0,5
2021-01-01,2,1,0,9
2021-01-02,0,0,0,3
2021-01-03,0,0,0,3
2021-01-04,1,0,0,3
2021-01-05,2,1,0,0
2021-01-06,0,0,0,0
2021-01-07,1,0,0,0
2021-01-08,1,0,0,0
2021-01-09,6,0,0,0
2021-01-10,1,0,0,0
2021-01-11,0,0,0,0
2021-01-12,3,0,0,0
2021-01-13,0,0,0,0
2021-01-14,2,0,0,0
2021-01-15,3,0,0,0
2021-01-16,7,0,0,0
2021-01-17,2,0,0,0
2021-01-18,3,0,0,0
2021-01-19,1,0,0,0
2021-01-20,1,0,0,0
2021-01-21,1,0,0,0
2021-01-22,3,0,0,0
2021-01-23,0,0,0,0
2021-01-24,6,0,0,0
2021-01-25,1,0,0,0
2021-01-26,2,0,0,0
2021-01-27,3,0,0,0
2021-01-28,0,0,0,1
2021-01-29,1,0,0,0
2021-01-30,0,0,0,0
2021-01-31,1,0,0,0
2021-02-01,0,0,0,0
2021-02-02,0,0,0,0
2021-02-03,2,0,0,1
2021-02-04,3,0,0,0
2021-02-05,0,0,0,0
2021-02-06,0,0,0,0
2021-02-07,0,0,0,1
2021-02-08,0,0,0,0
2021-02-09,0,0,0,2
2021-02-10,0,0,0,2
2021-02-11,0,0,0,4
2021-02-12,0,0,0,2
2021-02-13,1,0,0,2
2021-02-14,1,0,0,1
2021-02-15,2,0,0,2
2021-02-16,0,0,0,0
2021-02-17,1,0,0,0
2021-02-18,0,0,0,3
2021-02-19,0,0,0,0
2021-02-20,0,0,0,0
2021-02-21,0,0,0,0
2021-02-22,0,0,0,0
2021-02-23,0,0,0,0
2021-02-24,0,0,0,0
2021-02-25,0,0,0,2
2021-02-26,0,0,0,0
2021-02-27,0,0,0,0
2021-02-28,0,0,0,0
2021-03-01,0,0,0,0
2021-03-02,0,0,0,0
2021-03-03,0,0,0,0
2021-03-04,0,0,0,0
2021-03-05,0,0,0,0
2021-03-06,0,0,0,0
2021-03-07,1,0,0,0
